type,prix,adresse,image_lien
habits,15 000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg
habits,15 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg
habits,7 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg
habits,10 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg
habits,5 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg
habits,8 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg
habits,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5225588_uploaded_image1_1741658299.jpg
habits,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5225585_uploaded_image1_1741658034.jpg
habits,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5225584_uploaded_image1_1741657625.jpg
habits,6 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg
habits,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg
habits,8 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg
habits,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg
habits,1 000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg
habits,4 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg
habits,4 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129146_uploaded_image1_1736533355.jpg
habits,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5120586_uploaded_image1_1736107643.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg
habits,1 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg
habits,1 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106673_uploaded_image1_1735128585.jpg
habits,1 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106669_uploaded_image1_1735128475.jpg
habits,1 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106661_uploaded_image1_1735128299.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
habits,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg
habits,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg
habits,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg
habits,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg
habits,5 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg
habits,8 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg
habits,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg
habits,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg
habits,6 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5079189_uploaded_image1_1733486786.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg
habits,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg
habits,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg
habits,11 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg
habits,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
habits,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002636_uploaded_image1_1729418520.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg
habits,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4991997_uploaded_image1_1728856374.jpg
habits,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg
habits,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931868_uploaded_image1_1725656850.jpg
habits,12 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg
habits,14 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg
habits,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4866825_uploaded_image1_1722295875.jpg
habits,4 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg
habits,1 500CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg
habits,750CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg
habits,4 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg
habits,22 800CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg
habits,2 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg
habits,4 500CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg
habits,2 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg
habits,210CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg
habits,7 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg
habits,17 500CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg
habits,17 500CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg
habits,15 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg
habits,10 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg
habits,4 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg
habits,9 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg
habits,15 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg
habits,15 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg
habits,6 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg
habits,5 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg
habits,12 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg
habits,5 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg
habits,15 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg
habits,5 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg
habits,6 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
habits,10 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg
habits,5 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg
habits,5 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg
habits,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg
habits,8 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg
habits,2 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg
habits,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg
habits,15 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg
habits,10 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg
habits,12 500CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg
habits,6 000CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg
habits,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg
habits,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg
habits,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg
habits,10 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg
habits,10 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg
habits,10 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg
habits,10 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659704_uploaded_image1_1711412034.jpg
habits,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg
habits,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659699_uploaded_image1_1711411751.jpg
habits,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659694_uploaded_image1_1711411367.jpg
