type,prix,adresse,image_lien
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361109_uploaded_image1_1749079193.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361106_uploaded_image1_1749079052.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361104_uploaded_image1_1749078905.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364541_uploaded_image1_1749327532.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401398_uploaded_image1_1751403395.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401387_uploaded_image1_1751402825.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401346_uploaded_image1_1751401243.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5401340_uploaded_image1_1751401135.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401336_uploaded_image1_1751401037.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401322_uploaded_image1_1751400730.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360720_uploaded_image1_1749061990.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368322_uploaded_image1_1749575502.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368328_uploaded_image1_1749575586.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386909_uploaded_image1_1750612990.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386870_uploaded_image1_1750612086.jpg
chaussures,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400882_uploaded_image1_1751384100.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360036_uploaded_image1_1749037560.jpg
chaussures,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360018_uploaded_image1_1749037245.jpg
chaussures,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5367848_uploaded_image1_1749555791.jpg
chaussures,20 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400189_uploaded_image1_1751368396.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5376698_uploaded_image1_1750070197.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359849_uploaded_image1_1749031529.jpg
chaussures,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400128_uploaded_image1_1751366626.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359697_uploaded_image1_1749024937.jpg
chaussures,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399786_uploaded_image1_1751350901.jpg
chaussures,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399783_uploaded_image1_1751350820.jpg
chaussures,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399782_uploaded_image1_1751350706.jpg
chaussures,23 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399778_uploaded_image1_1751350515.jpg
chaussures,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399770_uploaded_image1_1751349884.jpg
chaussures,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399767_uploaded_image1_1751349787.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399763_uploaded_image1_1751349629.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399752_uploaded_image1_1751349132.jpg
chaussures,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399749_uploaded_image1_1751348901.jpg
chaussures,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399692_uploaded_image1_1751338580.jpg
chaussures,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381433_uploaded_image1_1750290780.jpg
chaussures,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381432_uploaded_image1_1750290707.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381435_uploaded_image1_1750290863.jpg
chaussures,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371936_uploaded_image1_1749765298.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359154_uploaded_image1_1748983277.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359143_uploaded_image1_1748982874.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359038_uploaded_image1_1748978250.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359006_uploaded_image1_1748976951.jpg
chaussures,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399058_uploaded_image1_1751302512.jpg
chaussures,6 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361744_uploaded_image1_1749121958.jpg
chaussures,4 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361721_uploaded_image1_1749121349.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg
chaussures,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355170_uploaded_image1_1748804676.jpg
chaussures,6 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395482_uploaded_image2_1751059185.jpeg
chaussures,5 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395412_uploaded_image1_1751054127.jpg
chaussures,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393539_uploaded_image1_1750952929.jpg
chaussures,35 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391753_uploaded_image1_1750857199.jpg
chaussures,40 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391598_uploaded_image1_1750852699.jpg
chaussures,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5390760_uploaded_image1_1750804520.jpg
chaussures,100 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389229_uploaded_image1_1750732912.jpg
chaussures,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388886_uploaded_image1_1750707753.jpg
chaussures,30 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355405_uploaded_image1_1748811936.jpg
chaussures,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355402_uploaded_image1_1748811821.jpg
chaussures,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg
chaussures,19 000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383496_uploaded_image1_1750413096.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5337086_uploaded_image1_1747753113.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380989_uploaded_image1_1750269170.jpg
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380985_uploaded_image1_1750269013.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380983_uploaded_image1_1750268930.jpg
chaussures,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380977_uploaded_image1_1750268827.jpg
chaussures,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380973_uploaded_image1_1750268749.jpg
