web-scraper-order,web-scraper-start-url,type habits,prix,adresse,image_lien-src,container_vetements-enfant,container_vetements-enfant-href
"1752743986-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfants","12 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2796561_uploaded_image1_1606730811.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfant","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3087733_uploaded_image1_1619763855.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfant","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2188090_uploaded_image1_1590683954.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tuniques enfant","20 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2066977_uploaded_image1_1588770353.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tuniques enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_2051266_uploaded_image1_1588537693.14.jpeg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752744013-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","7 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","11 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble robe  bébé","5 500 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2732121_uploaded_image1_1604324288.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","7 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant coton 100%","12 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2736363_uploaded_image1_1604448852.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744041-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble short enfant","8 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble Pul Enfants","18 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble costumes enfants","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble veste garçon 5 pièces","28 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Costume enfant","28 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble petit garçon","9 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble crop top","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble veste pour enfant","23 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4402991_uploaded_image1_1696452237.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble Robe enfants","28 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3990865_uploaded_image1_1670005692.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfants","8 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3913283_uploaded_image1_1665352048.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744041-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Polo pour enfants","8 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3883008_uploaded_image1_1663536149.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2798832"
"1752744067-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blousons enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2799534_uploaded_image1_1606820694.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blouson enfant","6 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2981375_uploaded_image1_1614732549.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfants","10 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2951605_uploaded_image1_1613355841.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles enfant","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2933246_uploaded_image1_1612515788.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles blouson enfants","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2923009_uploaded_image1_1612168840.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles blousons","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2919804_uploaded_image1_1611967516.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles blousons","12 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2877447_uploaded_image1_1610105451.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blouson-pantalon","12 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blouson-pantalon","12 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2855622_uploaded_image1_1609119638.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","12 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2848046_uploaded_image1_1608690285.jpg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744067-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blouson enfant","8 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg","Ensemble blousons enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blousons-enfant-2799534"
"1752744094-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Joggings enfant","6 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2801613_uploaded_image1_1606862161.jpg","Joggings enfant","https://sn.coinafrique.com/annonce/vetements-enfants/joggings-enfant-2801613"
"1752744094-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble jogging","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2729083_uploaded_image1_1604195337.jpg","Joggings enfant","https://sn.coinafrique.com/annonce/vetements-enfants/joggings-enfant-2801613"
"1752744094-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Jogging enfant","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1382782_uploaded_image1_1577146067.93.png","Joggings enfant","https://sn.coinafrique.com/annonce/vetements-enfants/joggings-enfant-2801613"
"1752744121-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","7 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2802858"
"1752744121-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","11 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2802858"
"1752744121-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble robe  bébé","5 500 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2732121_uploaded_image1_1604324288.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2802858"
"1752744121-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","7 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2802858"
"1752744121-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant coton 100%","12 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2736363_uploaded_image1_1604448852.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2802858"
"1752744201-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble pour enfants","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2806857_uploaded_image1_1607019083.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Habits pour enfants","1 500 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_1730070_uploaded_image1_1583108098.32.png","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blousons enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2799534_uploaded_image1_1606820694.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Maillot enfant original","5 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803131_uploaded_image1_1584378734.55.png","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","10 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2033828_uploaded_image1_1588247617.46.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","5 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_1943553_uploaded_image1_1586864671.63.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385364_uploaded_image1_1750509649.41.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Habillement enfant","4 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfants","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4042129_uploaded_image1_1673293586.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfants","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4042132_uploaded_image1_1673293667.jpg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","4 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3663950_uploaded_image3_1650558634.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744201-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles enfant","4 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3490179_uploaded_image2_1639899300.jpeg","Ensemble pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-2806857"
"1752744230-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetements enfants","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Sous vetement enfant","1 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetement  enfants","8 500 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Sous-vêtement Enfant","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetement  enfants","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetements enfant","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetements  enfants","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vetement enfants","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtement enfant","5 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4065291_uploaded_image1_1674673177.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744230-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2806997"
"1752744313-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfant","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3538747_uploaded_image1_1643124842.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson Poir Pour Enfant","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3414761_uploaded_image1_1635795193.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfant","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2811803_uploaded_image1_1607197851.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blousons enfants","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2775614_uploaded_image2_1605877225.jpeg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfant","18 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752408_uploaded_image1_1563349196.32.png","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson pour enfant","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson pour enfants 100% coton 3 ans 9ans","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfants","8 500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson pour enfant 4 - 15 ans","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3997872_uploaded_image1_1670412272.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Blouson enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3996986_uploaded_image1_1670352146.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744313-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blousons enfant","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2799534_uploaded_image1_1606820694.jpg","Blouson enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfant-2811803"
"1752744342-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Friperie enfants","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3733511_uploaded_image1_1654724106.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Combinaison enfant","4 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3638113_uploaded_image1_1649106100.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Friperie enfants","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3600524_uploaded_image1_1646824802.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3536216_uploaded_image1_1642943146.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3527123_uploaded_image1_1642357733.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Pantalon enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3527122_uploaded_image1_1642357621.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3527120_uploaded_image1_1642357377.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Pull friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3502826_uploaded_image1_1640879287.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3502825_uploaded_image1_1640879211.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
"1752744342-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtement enfants friperie","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3468413_uploaded_image1_1638627289.jpg","Friperie enfants","https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2812386"
